app/[locale]/[toolSlug]/page.tsx(1,31): error TS2307: Cannot find module 'next' or its corresponding type declarations.
app/[locale]/[toolSlug]/page.tsx(2,18): error TS2307: Cannot find module 'next/link' or its corresponding type declarations.
app/[locale]/[toolSlug]/page.tsx(3,45): error TS2307: Cannot find module 'next/navigation' or its corresponding type declarations.
app/[locale]/[toolSlug]/page.tsx(175,40): error TS2875: This JSX tag requires the module path 'react/jsx-runtime' to exist, but none could be found. Make sure you have types for the appropriate package installed.
app/[locale]/[toolSlug]/page.tsx(347,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(348,7): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(350,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(350,67): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(351,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(352,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(355,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(355,71): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(356,17): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(356,66): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(359,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(360,11): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(360,44): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
app/[locale]/[toolSlug]/page.tsx(361,9): error TS7026: JSX element implicitly has type 'any' because no interface 'JSX.IntrinsicElements' exists.
